survey	data_release	source_name	schema_key
GALAH	Data Release 3	140307001101164	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140307001101195	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140118002501014	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140118002501018	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140307001101303	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140118002501309	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140307001101371	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140118003501096	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140307001601304	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140307001601389	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140307001601398	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140118003501359	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140118003501379	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140118003501398	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140209002201187	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140209002201345	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140308000101142	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140308000101146	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140209002701277	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140209002701287	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140209003201213	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140209003701003	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140209003701012	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140308001401195	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140209003701199	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140209003701315	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140209004201225	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140308003801189	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309002101020	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309002101085	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309002601217	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309003601055	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140305001301095	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140305001301183	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140305001301284	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004101014	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140305001801053	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140305001801093	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140305001801121	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140305001801124	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140305001801132	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140305001801174	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140305001801186	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140305001801195	galah.dr3.spectra.hermes.spectrum_1d
